Ticket Number;Subject;Status;Centros de cultivo Multi X;Centro de cultivo Aquachile;Centro de Cultivo Salmones Aysen;Department;Type;Priority;Owner;Organizations;Assigned Agent;Source;Creator;Resolved In(in minutes);First Replied At;Created At;Updated At;Closed At;Description;Categoría de Problema;Centros de cultivo Caleta Bay;Dispositivo;Radares;Dispositivo;Dispositivo;PC;Grabación de Cámaras;Proveedor de internet;C.M FALLA;Ticket Link
ORCA-AAAA-1317;Baliza externa Huapi;Cerrado;;Huapi;;Soporte;Problema;Alta;central monitoreo aquachile;Aquachile;;Web;central monitoreo aquachile;29500;;septiembre 04, 2024 6:58 AM;octubre 02, 2024 6:38 PM;octubre 02, 2024 6:38 PM;Buenas noches, favor ayuda con la revisión del la baliza externa correspondiente al centro Huapi ya que no estaría funcionando al momento de verificar el sistema en conjunto con personal del centro, quedáremos atento.;Alarmas;;Baliza Exterior;;;;;;Click here to view ticket;;
ORCA-AAAA-1334;Camara ensilaje Choen;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;5678;septiembre 26, 2024 8:25 PM;septiembre 26, 2024 8:00 PM;octubre 02, 2024 6:38 PM;octubre 02, 2024 6:38 PM;Se informa desconexión de cámara de ensilaje de Centro Choen a las 10:10 Hrs aprox, por unos minutos se mantuvo con caídas, hasta que ya no se volvió a conectar. En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1333;Revisar camara interior Jechica;Eliminado;;Jechica;;Soporte;Problema;Baja;Alejandro Gatino;Orca Tecnologia;Soporte Orca;Agent;Raul  Dodero;;;septiembre 26, 2024 7:49 PM;octubre 01, 2024 11:28 PM;;Revisar cámara interior desconectada;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1335;Sistema de alarma;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;3993;septiembre 27, 2024 5:25 AM;septiembre 27, 2024 4:55 AM;octubre 01, 2024 11:28 PM;octubre 01, 2024 11:28 PM;Estimados buenas noches, informar que al momento de realizar una prueba de alarma en el centro Renaico y seleccionar las opciones de alarmas se activaron en el centro Chidhuapi. cabe recalcar que se refrescaron en reiteradas veces las conexiones y se hicieron 2 pruebas en distintos horarios y el problema insiste, favor verificar de forma urgente esta incidencia. Saludos.Sebastian Alcazar Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1332;monitor de camaras de centro Leptepu con visual pegada;Cerrado;;;;Soporte;;Alta;Seguridad Base;;;Email;Seguridad Base;662;;septiembre 26, 2024 8:45 AM;septiembre 26, 2024 7:47 PM;septiembre 26, 2024 7:47 PM;Buenas noches.Mediante el presente informo que la visual de cámaras de centro Leptepu se encuentra pegada en central de monitoreo.Favor poder revisar sistema ya que se intento arreglar pero se mantiene la pantalla con la imagen pegada y mouse no responde.Atte.Andrea Castro Salamanca.Seguridad PangalitoCaleta Bay+569 9458 1038 ;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1330;Planilla de detecciones.;Cerrado;;;;Soporte;;Alta;Seguridad Base;;Raul  Dodero;Email;Seguridad Base;4052;septiembre 23, 2024 10:30 PM;septiembre 23, 2024 10:25 PM;septiembre 26, 2024 5:57 PM;septiembre 26, 2024 5:57 PM;Buenas tardes.Junto con saludarles nos podrían indicar si el centro Leptepu cuenta con hoja de detecciones, como anteriormente los centros que han estado con su servicio tenían una planilla de detecciones, al revisar la pagina que teníamos solo nos figuran las detecciones de los centros que teníamos en el mes de agosto.Atte.Andrea Castro.Seguridad PangalitoCaleta Bay+569 9458 1038 ;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1331;Camara Quetros 2;Cerrado;;Quetros 2;;Soporte;Problema;Alta;central monitoreo aquachile;Aquachile;;Web;central monitoreo aquachile;784;;septiembre 25, 2024 4:35 AM;septiembre 25, 2024 5:39 PM;septiembre 25, 2024 5:39 PM;Solicitó apoyo ya que la cámara del Centro Quetros 2 se encuentra apagada, pero el radar funciona sin problema.;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1325;perdida de visual bodega centro Maillen.;Cerrado;;;maillen;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;8479;;septiembre 14, 2024 11:40 PM;septiembre 23, 2024 9:19 PM;septiembre 23, 2024 9:19 PM;Buenas tardes estimados. Para informar de perdida de visual de Bodega centro Maillen, a las 13:54 Hrs. (Las demás camaras se encuentran sin problemas).También se revisó las grabaciones y no se ve que haya recibo algún golpe o intervención. (se adjuntan imágenes)   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1323;Preset, Centro Milagro;Cerrado;;;milagro;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;11428;septiembre 11, 2024 11:20 PM;septiembre 11, 2024 10:50 PM;septiembre 23, 2024 9:17 PM;septiembre 23, 2024 9:17 PM;Buenas tardes, para solicitar si pueden añadir un preset mas en Centro Milagro, este seria la bodega de ensilaje.Gracias.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Central de Monitoreo;;;;;;;Cambio de Presset;Click here to view ticket;;
ORCA-AAAA-1328;Re: Solicitud;Cerrado;;;;Soporte;;Alta;fdelrio@orcatecnologia.cl;Orca Tecnologia;;Email;fdelrio@orcatecnologia.cl;5746;;septiembre 17, 2024 9:30 PM;septiembre 23, 2024 9:16 PM;septiembre 23, 2024 9:16 PM;"Estimado Héctor, espero que estés muy bien.Cualquier solicitud de soporte, que nos manden el correo a @Soporte Orca con copia a @Ticket Soporte y todos vamos a recibir la información. Estamos prácticamente todos, por lo que el régimen es el habitual para fines de semana.Saludos cordialesEl mar, 17 sept 2024 a las 12:41, Hector Castillo Valderas (&lt;hector.castillo@aquachile.com&gt;) escribió:Buenas tardes estimados, junto con saludarlos consulto quien estará disponible estos días de feriado en caso de algún requerimiento.Atte.Héctor Alejandro Castillo ValderasSupervisor Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56933843677www.aquachile.com";Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1326;Re: Alarma con falla total;Cerrado;;mauchil;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;8476;;septiembre 15, 2024 5:20 AM;septiembre 23, 2024 9:15 PM;septiembre 23, 2024 9:15 PM;"Estimados, personal de soporte me indica que las alarmas al menos de forma local, funcionan sin inconvenientes, se activaron desde acá y encienden, sería ideal que tuviésemos el feedback de alguien desde el centro, también solo para estar seguros, recordar que las alarmas se activan haciendo doble click en el botón correspondiente.Quedamos atentos,Saludos cordiales El sáb, 14 de sept de 2024, 8:03 p. m., Raul Dodero &lt;rdodero@orcatecnologia.cl&gt; escribió:Buenas noches:Estimados, personal de soporte revisará lo que nos indican, puede ser el dispositivo encargado de gestionar la activación, pero esperemos que revisen pasa poder entregar mayor información.Saludos cordiales El sáb, 14 de sept de 2024, 7:55 p. m., Vigilancia2 &lt;vigilancia2@aquachile.com&gt; escribió:Estimados,Se hace prueba de alarmas en centro Mauchil pero no funciona ninguna de las opciones (bocina interna, externa, baliza interna, externa, foco led)Favor su ayuda para gestionar.Saludos cordiales,Alexandra CarvajalProtección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com";Alarmas;;Bocina Interior,Bocina Exterior,Foco Led,Baliza Exterior,Baliza Interior;;;;;;Click here to view ticket;;
ORCA-AAAA-1329;Error en Visual de Radares;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;;Email;central monitoreo aquachile;4862;;septiembre 18, 2024 12:10 PM;septiembre 23, 2024 9:11 PM;septiembre 23, 2024 9:11 PM;Buenos días:Se informa que tenemos a centros Harry y Jechica sin visual de radares correspondientes ya que en su lugar se encuentra visualizado el radar de centro Caleta Juárez como se evidencia en imágenesEn estos momentos solo estamos con visual de cámaras y reportes en planilla en lo que respecta a estos centros, tener presente las malas condiciones climáticas en ambos por lo que se dificulta verificar detecciones.Se solicita revisar a la brevedad, atentos a sus alcances.SaludosBetsy Yefi N.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1324;Re: perdida de visual en centro Chulchuy.;Cerrado;;;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;280;;septiembre 13, 2024 7:20 PM;septiembre 14, 2024 1:33 AM;septiembre 14, 2024 1:33 AM;"Buenos días:Estimado, habrá tomado contacto con personal en el centro?, lo ideal es tener una foto de nuestro monitor y descartar problemas con el funcionamiento del sistema de vigilancia, como bien dice si es por enlace, nosotros solo podemos confirmarle si tenemos conexión con nuestro sistema.Quedamos atentos, muchas gracias.Saludos cordiales.El vie, 13 sept 2024 a las 10:38, Central Seguridad SAY (&lt;centralseguridadsay@salmonesaysen.cl&gt;) escribió:Buenos días para informar que centro Chulchuy presente problemas con enlace, por el momentos nos encontramos sin visual del centro por favor corroborar el problema.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.--  ";;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1322;Visual centro Jechica1;Cerrado;;Jechica;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;513;septiembre 10, 2024 5:25 PM;septiembre 10, 2024 3:35 PM;septiembre 11, 2024 12:08 AM;septiembre 11, 2024 12:08 AM;Estimado ORCA buenos días, informar que las cámaras del centro Jechica 1 no se visualizan . solamente estaría funcionando el nio, favor verificar ante la brevedad.@Centro Jechica 1: estimados, favor comunicar como se encuentra el estado del sistema.Saludos.Sebastian Alcazar Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Enlace;;;;;;Startlink;;Click here to view ticket;;
ORCA-AAAA-1321;Re: SONIDO DE ALERTAS.;Cerrado;;;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;363;;septiembre 09, 2024 5:55 PM;septiembre 09, 2024 11:58 PM;septiembre 09, 2024 11:58 PM;"Buenos días:Soporte ingresará para revisar lo que nos indican, favor considerar para luego revisar lo que nos indican.Saludos cordiales.El lun, 9 sept 2024 a las 9:19, Vigilancia2 (&lt;vigilancia2@aquachile.com&gt;) escribió:Estimados, buenos días: Para informar que planilla sigue emitiendo sonidos en horario diurno, favor revisar y solucionar, ya que los sonidos de alerta debieran estar programados en horario nocturno.Saludos cordiales,Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com--  ";Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1320;metricas de energia ;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;82;septiembre 09, 2024 5:30 PM;septiembre 09, 2024 5:30 PM;septiembre 09, 2024 6:52 PM;septiembre 09, 2024 6:52 PM;Buenos días, para informar que las métricas de energía están inoperativa. En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Central de Monitoreo;;;;;;;Metricas Energia Orcaboard;Click here to view ticket;;
ORCA-AAAA-1319;Re: PTZ Centro Quetros 2;Cerrado;;Quetros 2;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;1;;septiembre 06, 2024 7:50 PM;septiembre 06, 2024 7:51 PM;septiembre 06, 2024 7:51 PM;"Buenos días:Estimados, favor corroborar nuevamente, se encuentra funcionando correctamente, quedamos atentos a su confirmación.Saludos cordiales.El jue, 5 sept 2024 a las 20:16, Raul Dodero (&lt;rdodero@orcatecnologia.cl&gt;) escribió:Buenas noches:Personal de soporte va a ingresar para ajustar lo que nos informan, al finalizar se avisará para su revisión. Saludos cordiales El jue, 5 de sept de 2024, 8:15 p. m., Vigilancia2 &lt;vigilancia2@aquachile.com&gt; escribió:Estimados,Favor su ayuda para corregir visual de PTZ de centro Quetros que en Digifort no permite encuadrar módulo.Saludos cordiales,Alexandra CarvajalProtección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com--  ";Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1315;VISUAL JECHICA;Cerrado;;Jechica;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Danilo  Aguero;Email;central monitoreo aquachile;2863;septiembre 02, 2024 7:10 PM;septiembre 02, 2024 7:10 PM;septiembre 04, 2024 6:53 PM;septiembre 04, 2024 6:53 PM;Buenos días estimados:  Favor su ayuda con revisión de centro Jechica, aparece conectado, pero no se visualiza cámaras ni radar, quedo atenta.Saludos cordiales,Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Cámaras;;;;;;;;Click here to view ticket;;
